Document,Strict_Accuracy,F1_Score
doc_00,0.0,0.3636
doc_01,0.0,0.7368
doc_02,0.0,0.2857
doc_03,0.0,0.9333
doc_04,0.0,0.1143
doc_05,0.0,0.5333
doc_06,0.0,0.6667
doc_07,0.0,0.7059
doc_08,0.0,0.5263
doc_09,0.0,0.2353
doc_10,1.0,1.0
doc_11,0.0,0.8333
doc_12,0.0,0.32
doc_13,0.0,0.5385
doc_14,0.0,0.7778
doc_15,1.0,1.0
doc_16,0.0,0.7742
doc_17,0.0,0.5143
doc_18,0.0,0.4286
doc_19,0.0,0.3529
doc_20,0.0,0.6667
doc_21,0.0,0.7059
doc_22,1.0,1.0
doc_23,1.0,1.0
doc_24,0.0,0.32
doc_25,0.0,0.7368
doc_26,0.0,0.5185
doc_27,0.0,0.7368
doc_28,1.0,1.0
doc_29,0.0,0.7568
doc_30,0.0,0.7778
doc_31,1.0,1.0
doc_32,1.0,1.0
doc_33,0.0,0.6667
doc_34,0.0,0.7619
doc_35,0.0,0.0
doc_36,0.0,0.7
doc_37,0.0,0.8333
doc_38,0.0,0.7826
doc_39,0.0,0.0
doc_40,0.0,0.4
doc_41,0.0,0.0
doc_42,0.0,0.4444
doc_43,0.0,0.8
doc_44,1.0,1.0
doc_45,0.0,0.9091
doc_46,0.0,0.9412
doc_47,0.0,0.6667
doc_48,0.0,0.4167
doc_49,0.0,0.7
doc_50,0.0,0.5
doc_51,0.0,0.4186
doc_52,0.0,0.9333
doc_53,0.0,0.8462
doc_54,0.0,0.9091
doc_55,0.0,0.75
doc_56,0.0,0.4
doc_57,0.0,0.6
doc_58,0.0,0.8235
doc_59,0.0,0.6809
doc_60,0.0,0.5
doc_61,0.0,0.5714
doc_62,0.0,0.875
doc_63,0.0,0.5
doc_64,0.0,0.9091
doc_65,0.0,0.4615
doc_66,0.0,0.7368
doc_67,0.0,0.8
doc_68,1.0,1.0
doc_69,0.0,0.96
doc_70,0.0,0.0588
doc_71,0.0,0.5333
doc_72,1.0,1.0
doc_73,1.0,1.0
doc_74,0.0,0.7143
doc_75,0.0,0.8125
doc_76,0.0,0.3333
doc_77,1.0,1.0
doc_78,0.0,0.5714
doc_79,0.0,0.9
doc_80,0.0,0.1538
doc_81,0.0,0.9231
doc_82,0.0,0.9032
doc_83,0.0,0.5263
doc_84,0.0,0.9091
doc_85,0.0,0.8214
doc_86,0.0,0.7368
doc_87,0.0,0.6667
doc_88,0.0,0.8333
doc_89,0.0,0.4211
doc_90,0.0,0.9412
doc_91,0.0,0.7368
doc_92,0.0,0.4
doc_93,0.0,0.7778
doc_94,0.0,0.7586
doc_95,0.0,0.5
doc_96,0.0,0.7778
doc_97,0.0,0.6667
doc_98,0.0,0.72
doc_99,0.0,0.3846
